Time(S),GPU0_Power(W)
0.00,109.00
0.00,109.00
0.20,127.00
0.40,130.00
0.60,117.00
0.80,97.00
1.00,82.00
1.20,80.00
1.40,119.00
1.60,88.00
1.80,102.00
2.00,92.00
2.20,82.00
2.40,80.00
2.60,80.00
2.80,80.00
3.00,80.00
3.20,108.00
3.40,89.00
3.60,113.00
3.80,155.00
4.00,193.00
4.20,167.00
4.40,114.00
4.60,92.00
4.80,124.00
5.00,129.00
5.20,130.00
5.40,121.00
5.60,93.00
5.80,82.00
6.00,80.00
6.20,80.00
6.40,80.00
6.60,80.00
6.80,80.00
7.00,80.00
7.20,154.00
7.40,204.00
7.60,213.00
7.80,218.00
8.00,229.00
8.20,235.00
8.40,231.00
8.60,221.00
