Time(S),GPU0_Power(W)
0.00,111.00
0.00,111.00
0.20,128.00
0.40,125.00
0.60,97.00
0.80,83.00
1.00,80.00
1.20,80.00
1.40,80.00
1.60,106.00
1.80,94.00
2.00,82.00
2.20,80.00
2.41,80.00
2.61,80.00
2.81,80.00
3.01,80.00
3.21,80.00
3.41,115.00
3.61,150.00
3.81,178.00
4.01,136.00
4.21,88.00
4.41,81.00
4.61,80.00
4.81,80.00
5.01,80.00
5.21,80.00
5.41,80.00
5.61,80.00
5.81,84.00
6.01,96.00
6.21,82.00
6.41,80.00
6.61,80.00
6.81,80.00
7.01,80.00
7.21,126.00
7.41,89.00
7.61,81.00
7.81,80.00
8.01,97.00
8.21,95.00
8.41,82.00
8.61,80.00
8.81,80.00
9.01,80.00
9.21,80.00
9.41,111.00
9.61,86.00
9.81,140.00
