Time(S),GPU0_Power(W)
0.00,80.00
0.00,80.00
0.20,122.00
0.40,117.00
0.60,104.00
0.80,83.00
1.00,80.00
1.20,80.00
1.40,112.00
1.60,128.00
1.80,107.00
2.00,84.00
2.20,81.00
2.40,80.00
2.60,80.00
2.80,80.00
3.00,113.00
3.20,86.00
3.40,115.00
3.60,151.00
3.80,180.00
4.00,119.00
4.20,85.00
4.40,81.00
4.60,80.00
4.80,80.00
5.00,99.00
5.20,125.00
5.40,98.00
5.60,95.00
5.80,82.00
6.00,80.00
6.20,80.00
6.40,80.00
6.60,80.00
6.80,118.00
7.00,181.00
7.20,206.00
7.40,220.00
7.60,226.00
