Time(S),GPU0_Power(W)
0.07,144.39
0.07,144.41
0.27,144.44
0.47,144.45
0.67,144.45
0.87,149.24
1.07,159.07
1.27,169.76
1.47,179.39
1.67,194.96
1.87,203.09
2.07,203.22
2.27,203.52
2.47,203.69
2.67,200.47
2.87,200.24
3.07,200.25
3.27,200.27
3.47,200.25
3.67,200.24
3.87,200.23
4.07,200.21
4.27,200.23
4.47,200.21
4.67,200.20
4.87,200.26
5.07,200.29
5.27,200.31
5.48,200.34
5.68,200.43
5.88,200.34
6.08,200.35
6.28,200.29
6.48,200.26
6.68,200.20
6.88,200.24
7.08,200.24
7.28,200.27
7.48,200.34
7.68,200.38
7.88,200.44
8.08,200.52
8.28,200.65
8.48,200.58
8.68,200.50
8.88,200.52
9.08,200.51
9.28,200.27
9.48,200.16
9.68,200.21
9.88,200.07
10.08,199.84
10.28,199.81
10.48,199.88
10.68,199.89
10.88,199.95
11.08,200.04
11.28,200.06
11.48,200.11
11.68,200.11
11.88,200.15
12.08,200.30
12.28,200.54
12.48,200.59
12.68,200.56
12.88,200.68
13.08,200.74
13.28,200.80
13.48,200.86
13.68,201.05
13.88,200.78
14.08,200.62
14.28,200.43
14.48,200.37
14.68,200.36
14.88,200.52
15.08,200.43
15.28,200.36
15.48,200.21
15.68,200.02
15.88,199.96
16.08,200.20
16.29,200.41
16.49,200.71
16.69,200.87
16.89,201.00
17.09,200.90
17.29,200.78
17.49,200.68
17.69,200.65
17.89,200.69
18.09,200.68
18.29,200.62
18.49,200.52
18.69,200.59
18.89,200.37
19.09,200.22
19.29,200.27
19.49,200.23
19.69,200.21
19.89,200.24
20.09,200.38
20.29,200.30
20.49,200.29
20.69,200.42
20.89,200.51
21.09,200.41
21.29,200.30
21.49,200.55
21.69,200.30
21.89,200.13
22.09,200.06
22.29,200.11
22.49,200.04
22.69,200.15
22.89,200.36
23.09,200.49
23.29,200.40
23.49,200.22
23.69,200.06
23.89,199.89
24.09,199.88
24.29,200.12
