Time(S),GPU0_Power(W)
0.07,144.25
0.07,144.26
0.27,144.30
0.47,144.30
0.67,144.27
0.87,148.10
1.07,158.93
1.27,169.65
1.47,181.37
1.67,195.57
1.87,202.71
2.07,202.74
2.27,203.00
2.47,203.16
2.67,200.12
2.87,199.99
3.07,200.01
3.27,200.01
3.47,199.99
3.67,200.01
3.87,199.99
4.07,199.99
4.28,199.99
4.48,200.02
4.68,200.04
4.88,200.02
5.08,200.03
5.28,200.07
5.48,200.01
5.68,199.99
5.88,200.03
6.08,200.08
6.28,200.08
6.48,200.11
6.68,200.10
6.88,200.07
7.08,200.02
7.28,200.03
7.48,200.02
7.68,200.07
7.88,200.06
8.08,200.06
8.28,200.06
8.48,200.08
8.68,200.07
8.88,200.10
9.08,200.11
9.28,200.11
9.48,200.12
9.68,200.15
9.88,200.11
10.08,200.12
10.28,200.13
10.48,200.15
10.68,200.13
10.88,200.16
11.08,200.15
11.28,200.11
11.48,200.05
11.68,200.07
11.88,200.08
12.08,200.07
12.28,200.11
12.48,200.13
12.68,200.11
12.88,200.08
13.08,200.09
13.28,200.09
13.48,200.08
13.68,200.08
13.88,200.10
14.08,200.13
14.28,200.12
14.48,200.13
14.68,200.12
14.88,200.12
15.08,200.08
15.29,200.08
15.49,200.08
15.69,200.10
15.89,200.09
16.09,200.12
16.29,200.12
16.49,200.12
16.69,200.11
16.89,200.07
17.09,200.12
17.29,200.11
17.49,200.10
17.69,200.08
17.89,200.08
18.09,200.06
18.29,200.00
18.49,200.02
18.69,200.03
18.89,200.00
19.09,200.02
19.29,200.03
19.49,199.99
19.69,199.96
19.89,199.99
20.09,200.01
20.29,199.99
20.49,200.03
20.69,200.04
20.89,200.02
21.09,200.01
21.29,200.02
21.49,200.01
21.69,200.00
21.89,200.06
22.09,200.07
22.29,200.10
22.49,200.12
22.69,200.13
22.89,200.12
23.09,200.12
23.29,200.12
23.49,200.12
23.69,200.07
23.89,200.08
24.09,200.08
24.29,200.11
24.49,200.06
24.69,200.08
24.89,200.08
25.09,200.08
25.29,200.07
25.49,200.06
25.69,200.06
25.89,200.07
26.10,200.04
26.30,200.11
26.50,200.15
26.70,200.11
26.90,200.10
27.10,200.11
27.30,200.08
27.50,200.09
27.70,200.13
27.90,200.15
28.10,200.12
28.30,200.13
28.50,200.12
28.70,200.12
28.90,200.15
29.10,200.11
29.30,200.15
29.50,200.11
29.70,200.11
29.90,200.08
30.10,200.13
30.30,200.13
30.50,200.11
30.70,200.13
30.90,200.13
31.10,200.13
31.30,200.11
31.50,200.13
31.70,200.11
31.90,200.11
32.10,200.12
32.30,200.11
32.50,200.12
32.70,200.13
32.90,200.15
33.10,200.12
33.30,200.12
33.50,200.16
33.70,200.15
33.90,200.13
34.10,200.17
34.30,200.21
34.50,200.21
34.70,200.23
34.90,200.25
35.10,200.27
35.30,200.21
35.50,200.15
35.70,200.13
35.90,200.17
36.10,200.20
36.30,200.22
36.50,200.21
36.70,200.22
36.90,200.21
37.11,200.12
37.31,200.12
37.51,200.16
37.71,200.21
37.91,200.22
38.11,200.22
38.31,200.22
38.51,200.17
38.71,200.13
38.91,200.12
39.11,200.17
39.31,200.20
39.51,200.21
39.71,200.20
39.91,200.16
40.11,200.16
40.31,200.13
40.51,200.15
40.71,200.17
40.91,200.17
41.11,200.15
41.31,200.12
41.51,200.11
41.71,200.08
41.91,200.10
42.11,200.11
42.31,200.11
42.51,200.15
42.71,200.13
42.91,200.11
43.11,200.10
43.31,200.15
43.51,200.15
43.71,200.17
43.91,200.20
44.11,200.21
44.31,200.19
44.51,200.21
44.71,200.14
44.91,200.15
45.11,200.16
45.31,200.13
45.51,200.13
45.71,200.16
45.91,200.16
46.11,200.17
46.31,200.17
46.51,200.17
46.71,200.16
46.91,200.20
47.11,200.18
47.31,200.22
47.51,200.20
47.71,200.18
47.92,200.17
48.12,200.18
48.32,200.17
48.52,200.17
48.72,200.16
48.92,200.16
49.12,200.15
49.32,200.16
49.52,200.16
49.72,200.18
49.92,200.25
50.12,200.25
50.32,200.26
50.52,200.24
50.72,200.26
50.92,200.23
51.12,200.21
51.32,200.20
51.52,200.24
51.72,200.24
51.92,200.25
52.12,200.25
52.32,200.21
52.52,200.18
52.72,200.15
52.92,200.10
53.12,200.04
53.32,201.74
53.52,201.77
53.72,201.77
53.92,201.82
54.12,201.88
54.32,200.22
54.52,200.22
54.72,200.23
54.92,200.23
55.12,200.23
55.32,200.21
55.52,200.20
55.72,200.21
55.92,200.20
56.12,200.18
56.32,200.22
56.52,200.22
56.72,200.26
56.92,200.26
57.12,200.31
57.32,200.31
57.52,200.29
57.72,200.27
57.92,200.26
58.12,200.22
58.32,200.20
58.52,200.22
58.72,200.24
58.93,200.25
59.13,200.27
59.33,200.31
59.53,200.28
59.73,200.26
59.93,200.27
60.13,200.27
60.33,200.26
60.53,200.27
60.73,200.29
60.93,200.20
61.13,200.22
61.33,200.20
61.53,200.18
61.73,200.15
61.93,200.20
62.13,200.17
62.33,200.17
62.53,200.18
62.73,200.21
62.93,200.17
63.13,200.20
63.33,200.18
63.53,200.16
63.73,200.13
63.93,200.15
64.13,200.15
64.33,200.16
64.53,200.24
64.73,200.25
64.93,200.28
65.13,200.26
65.33,200.22
65.53,200.20
65.73,200.20
65.93,200.20
66.13,200.21
66.33,200.29
66.53,200.32
66.73,200.30
66.93,200.28
67.13,200.25
67.33,200.21
67.53,200.17
67.73,200.22
67.93,200.25
