Time(S),GPU0_Power(W)
0.11,144.04
0.11,144.02
0.32,152.33
0.52,162.96
0.72,173.50
0.92,184.48
1.12,195.29
1.32,198.90
1.52,199.10
1.72,199.39
1.92,199.15
2.12,199.23
2.32,199.24
2.52,199.18
2.72,199.19
2.92,199.20
3.12,199.15
3.32,199.12
3.52,199.19
3.72,199.20
3.92,199.21
4.12,199.27
4.32,199.29
4.52,199.28
4.72,199.27
4.92,199.25
5.12,199.24
5.32,199.24
5.52,199.23
5.72,199.23
5.92,199.24
6.12,199.24
6.32,199.23
6.52,199.24
6.72,199.24
6.92,199.24
7.12,199.24
7.32,199.21
7.52,199.23
7.72,199.24
7.92,199.23
8.12,199.21
8.32,199.23
8.52,199.24
8.72,199.24
8.92,199.25
9.12,199.27
9.32,199.25
9.52,199.27
9.72,199.47
9.92,199.50
10.12,199.50
10.32,199.51
10.52,199.53
10.72,199.30
10.92,199.32
11.12,199.32
11.32,199.28
11.52,199.26
11.73,199.27
11.93,199.25
12.13,199.28
12.33,199.33
12.53,199.33
12.73,199.33
12.93,199.37
13.13,199.39
13.33,199.37
13.53,199.34
13.73,199.36
13.93,199.34
14.13,199.30
14.33,199.29
14.53,199.34
14.73,199.34
14.93,199.34
15.13,199.32
15.33,199.36
15.53,199.37
15.73,199.38
15.93,199.42
16.13,199.43
16.33,199.42
16.53,199.40
16.73,199.41
16.93,199.40
17.13,199.38
17.33,199.43
17.53,199.45
17.73,199.51
17.93,199.54
18.13,199.54
18.33,199.78
18.53,199.75
18.73,199.64
18.93,199.63
19.13,199.62
19.33,199.40
19.53,199.45
19.73,199.53
19.93,199.50
20.13,199.50
20.33,199.46
20.53,199.42
20.73,199.40
20.93,199.40
21.13,199.42
21.33,199.43
21.53,199.40
21.73,199.41
21.93,199.38
22.13,199.32
22.33,199.31
22.54,199.30
22.74,199.26
22.94,199.27
23.14,199.31
23.34,199.30
23.54,199.27
23.74,199.29
23.94,199.28
24.14,199.30
24.34,199.32
24.54,199.30
24.74,199.30
24.94,199.31
25.14,199.31
25.34,199.32
25.54,199.33
25.74,199.33
25.94,199.30
26.14,199.30
26.34,199.26
26.54,199.28
26.74,199.31
26.94,199.62
27.14,199.65
27.34,199.66
27.54,199.62
27.74,199.63
27.94,199.32
28.14,199.32
28.34,199.36
28.54,199.38
28.74,199.40
28.94,199.41
29.14,199.37
29.34,199.33
29.54,199.34
29.74,199.32
29.94,199.31
30.14,199.33
30.34,199.33
30.54,199.32
30.74,199.38
30.94,199.41
31.14,199.41
31.34,199.43
31.54,199.46
31.74,199.44
31.94,199.44
32.14,199.45
32.34,199.42
32.54,199.42
32.74,199.37
32.95,199.38
33.15,199.40
33.35,199.42
33.55,199.45
33.75,199.45
33.95,199.45
34.15,199.41
34.35,199.43
34.55,199.42
34.75,199.46
34.95,199.47
35.15,199.45
35.35,199.47
