Time(S),GPU0_Power(W)
0.00,126.00
0.00,126.00
0.20,154.00
0.40,160.00
0.60,130.00
0.80,126.00
1.00,125.00
1.20,145.00
1.40,157.00
1.60,131.00
1.80,127.00
2.00,126.00
2.20,125.00
2.40,124.00
2.60,125.00
2.80,126.00
3.00,125.00
3.20,160.00
3.40,195.00
3.60,169.00
3.80,132.00
4.00,127.00
4.20,126.00
4.40,125.00
4.60,134.00
4.80,131.00
5.00,126.00
5.20,125.00
5.40,125.00
5.60,125.00
5.80,126.00
6.00,125.00
6.20,136.00
6.40,127.00
6.60,163.00
6.80,148.00
7.00,129.00
7.20,126.00
7.40,125.00
7.60,136.00
7.80,127.00
8.00,126.00
8.20,125.00
8.40,126.00
8.60,126.00
8.80,138.00
9.00,130.00
9.20,153.00
