Time(S),GPU0_Power(W)
0.00,127.00
0.00,127.00
0.20,154.00
0.40,159.00
0.60,130.00
0.80,126.00
1.00,126.00
1.20,143.00
1.40,156.00
1.60,132.00
1.80,127.00
2.00,125.00
2.20,125.00
2.40,125.00
2.60,125.00
2.80,125.00
3.00,125.00
3.20,168.00
3.40,196.00
3.60,170.00
3.80,133.00
4.00,127.00
4.20,126.00
4.40,126.00
4.60,131.00
4.80,132.00
5.00,126.00
5.20,125.00
5.40,126.00
5.60,126.00
5.80,125.00
6.00,125.00
6.20,138.00
6.40,128.00
6.60,158.00
6.80,151.00
7.00,129.00
7.20,126.00
7.40,125.00
7.60,137.00
7.80,127.00
8.00,125.00
8.20,126.00
8.40,125.00
8.60,125.00
8.80,126.00
9.00,126.00
9.20,150.00
