gpu,dataset,algorithm,epochs,batch_size,raw_images,N,io_power_w,setup_power_w,recon_power_w
MI300A,R1000,dm,1,1000,1000,64,89.61111111,129.0,97.0
MI300A,R1000,dm,2,1000,1000,64,100.5,,97.5
MI300A,R1000,dm,4,1000,1000,64,92.0,134.0,98.70588235
MI300A,R1000,dm,6,1000,1000,64,93.33333333,140.0,94.47058824
MI300A,R1000,lsqml,1,1000,1000,64,104.22222222,150.0,90.875
MI300A,R1000,lsqml,2,1000,1000,64,99.83333333,145.0,99.52941176
MI300A,R1000,lsqml,4,1000,1000,64,97.11111111,139.0,100.17647059
MI300A,R1000,lsqml,6,1000,1000,64,96.55555556,132.0,101.05555556
MI300A,R1000,pie,1,1000,1000,64,94.05,,138.54545455
MI300A,R1000,pie,2,1000,1000,64,92.0,137.0,156.13461538
MI300A,R1000,pie,4,1000,1000,64,87.61111111,139.0,164.70212766
MI300A,R1000,pie,6,1000,1000,64,96.33333333,141.0,168.84090909
MI300A,R12000,ad_ptycho,1,1000,12000,64,103.23809524,152.0,105.22222222
MI300A,R12000,ad_ptycho,2,1000,12000,64,101.0,156.0,122.61904762
MI300A,R12000,ad_ptycho,4,1000,12000,64,99.30434783,177.0,135.0
MI300A,R12000,ad_ptycho,6,1000,12000,64,98.91304348,,143.48275862
MI300A,R12000,bh,1,1000,12000,64,107.28571429,159.0,102.02941176
MI300A,R12000,bh,2,1000,12000,64,97.56521739,193.0,108.97058824
MI300A,R12000,bh,4,1000,12000,64,98.76190476,153.0,115.425
MI300A,R12000,bh,6,1000,12000,64,106.36363636,191.0,131.34090909
MI300A,R12000,dm,1,1000,12000,64,96.0,167.0,99.95
MI300A,R12000,dm,2,1000,12000,64,102.81818182,191.0,111.33333333
MI300A,R12000,dm,4,1000,12000,64,107.66666667,155.0,124.31034483
MI300A,R12000,dm,6,1000,12000,64,97.76190476,149.0,134.64705882
MI300A,R12000,lsqml,1,1000,12000,64,103.57142857,153.0,107.88888889
MI300A,R12000,lsqml,2,1000,12000,64,116.18181818,197.0,114.52631579
MI300A,R12000,lsqml,4,1000,12000,64,108.09090909,198.0,133.64
MI300A,R12000,lsqml,6,1000,12000,64,90.31818182,149.0,149.48387097
MI300A,R12000,pie,1,1000,12000,64,105.57142857,152.0,175.71861472
MI300A,R12000,pie,2,1000,12000,64,99.81818182,187.0,178.00677201
MI300A,R12000,pie,4,1000,12000,64,95.17391304,182.0,179.09745763
MI300A,R12000,pie,6,1000,12000,64,103.14285714,153.0,180.03065134
MI300A,R2000,ad_ptycho,1,1000,2000,64,97.15,,93.5625
MI300A,R2000,ad_ptycho,2,1000,2000,64,95.68421053,,97.82352941
MI300A,R2000,ad_ptycho,4,1000,2000,64,103.4,,102.17647059
MI300A,R2000,ad_ptycho,6,1000,2000,64,106.85,,107.61111111
MI300A,R2000,bh,1,1000,2000,64,100.15,,94.32258065
MI300A,R2000,bh,2,1000,2000,64,92.10526316,141.0,93.53125
MI300A,R2000,bh,4,1000,2000,64,96.89473684,,102.84848485
MI300A,R2000,bh,6,1000,2000,64,97.84210526,,103.0
MI300A,R2000,dm,1,1000,2000,64,97.89473684,,100.23529412
MI300A,R2000,dm,2,1000,2000,64,91.21052632,,95.47058824
MI300A,R2000,dm,4,1000,2000,64,95.78947368,,103.61111111
MI300A,R2000,dm,6,1000,2000,64,97.89473684,,113.2
MI300A,R2000,lsqml,1,1000,2000,64,92.05263158,,90.0
MI300A,R2000,lsqml,2,1000,2000,64,121.25,,99.52941176
MI300A,R2000,lsqml,4,1000,2000,64,102.10526316,,108.77777778
MI300A,R2000,lsqml,6,1000,2000,64,103.0,,106.66666667
MI300A,R2000,pie,1,1000,2000,64,96.05,172.0,157.40677966
MI300A,R2000,pie,2,1000,2000,64,95.75,,164.51612903
MI300A,R2000,pie,4,1000,2000,64,95.84210526,,170.98136646
MI300A,R2000,pie,6,1000,2000,64,91.15789474,,174.04291845
MI300A,R4000,ad_ptycho,1,1000,4000,64,100.38095238,,108.0625
MI300A,R4000,ad_ptycho,2,1000,4000,64,103.81818182,,103.70588235
MI300A,R4000,ad_ptycho,4,1000,4000,64,99.35,181.0,111.66666667
MI300A,R4000,ad_ptycho,6,1000,4000,64,96.75,178.0,112.05263158
MI300A,R4000,bh,1,1000,4000,64,93.26315789,,93.8125
MI300A,R4000,bh,2,1000,4000,64,96.15789474,160.0,118.15625
MI300A,R4000,bh,4,1000,4000,64,90.94736842,154.0,96.84848485
MI300A,R4000,bh,6,1000,4000,64,97.21052632,154.0,104.91428571
MI300A,R4000,dm,1,1000,4000,64,98.68421053,153.0,107.94117647
MI300A,R4000,dm,2,1000,4000,64,99.15789474,154.0,105.52631579
MI300A,R4000,dm,4,1000,4000,64,91.15,140.0,113.52380952
MI300A,R4000,dm,6,1000,4000,64,93.63157895,151.0,119.13636364
MI300A,R4000,lsqml,1,1000,4000,64,99.57894737,153.0,96.125
MI300A,R4000,lsqml,2,1000,4000,64,97.36842105,151.0,108.05555556
MI300A,R4000,lsqml,4,1000,4000,64,100.5,188.0,107.66666667
MI300A,R4000,lsqml,6,1000,4000,64,95.36842105,,121.23809524
MI300A,R4000,pie,1,1000,4000,64,95.21052632,152.0,164.5106383
MI300A,R4000,pie,2,1000,4000,64,101.0,110.0,171.38823529
MI300A,R4000,pie,4,1000,4000,64,98.0952381,177.0,175.8006135
MI300A,R4000,pie,6,1000,4000,64,107.25,146.0,177.14541387
MI300A,R8000,ad_ptycho,1,1000,8000,64,101.6,153.0,110.05555556
MI300A,R8000,ad_ptycho,2,1000,8000,64,97.15,144.0,111.78947368
MI300A,R8000,ad_ptycho,4,1000,8000,64,104.23809524,,124.23809524
MI300A,R8000,ad_ptycho,6,1000,8000,64,100.9047619,193.0,140.73913043
MI300A,R8000,bh,1,1000,8000,64,94.2,153.0,99.90625
MI300A,R8000,bh,2,1000,8000,64,98.75,152.0,103.97058824
MI300A,R8000,bh,4,1000,8000,64,96.55,,113.54054054
MI300A,R8000,bh,6,1000,8000,64,97.9,155.0,122.10526316
MI300A,R8000,dm,1,1000,8000,64,98.33333333,154.0,105.5
MI300A,R8000,dm,2,1000,8000,64,93.22727273,191.0,101.45
MI300A,R8000,dm,4,1000,8000,64,107.95,154.0,121.86956522
MI300A,R8000,dm,6,1000,8000,64,94.95,,127.28571429
MI300A,R8000,lsqml,1,1000,8000,64,88.1,,111.88888889
MI300A,R8000,lsqml,2,1000,8000,64,97.8,153.0,114.73684211
MI300A,R8000,lsqml,4,1000,8000,64,99.0,155.0,124.13636364
MI300A,R8000,lsqml,6,1000,8000,64,99.23809524,,137.96153846
MI300A,R8000,pie,1,1000,8000,64,100.3,153.0,172.67836257
MI300A,R8000,pie,2,1000,8000,64,96.65,147.0,176.18421053
MI300A,R8000,pie,4,1000,8000,64,98.33333333,149.0,178.48148148
MI300A,R8000,pie,6,1000,8000,64,96.5,151.0,178.97275823
MI300X,R1000,ad_ptycho,1,1000,1000,64,132.64705882,168.0,135.4
MI300X,R1000,ad_ptycho,2,1000,1000,64,132.82352941,161.0,134.93333333
MI300X,R1000,ad_ptycho,4,1000,1000,64,132.58823529,171.0,138.375
MI300X,R1000,ad_ptycho,6,1000,1000,64,134.21052632,,138.0625
MI300X,R1000,bh,1,1000,1000,64,132.82352941,160.0,134.4
MI300X,R1000,bh,2,1000,1000,64,132.76470588,168.0,133.86666667
MI300X,R1000,bh,4,1000,1000,64,132.94117647,170.0,132.86666667
MI300X,R1000,bh,6,1000,1000,64,132.5,,135.03225806
MI300X,R1000,dm,1,1000,1000,64,135.33333333,,136.26666667
MI300X,R1000,dm,2,1000,1000,64,135.55555556,,138.375
MI300X,R1000,dm,4,1000,1000,64,134.0,,138.25
MI300X,R1000,dm,6,1000,1000,64,133.41176471,168.0,137.875
MI300X,R1000,lsqml,1,1000,1000,64,132.64705882,173.0,135.0
MI300X,R1000,lsqml,2,1000,1000,64,135.16666667,,136.9375
MI300X,R1000,lsqml,4,1000,1000,64,134.05882353,170.0,138.9375
MI300X,R1000,lsqml,6,1000,1000,64,132.64705882,172.0,138.5
MI300X,R1000,pie,1,1000,1000,64,132.76470588,153.0,182.62162162
MI300X,R1000,pie,2,1000,1000,64,133.05882353,172.0,194.91525424
MI300X,R1000,pie,4,1000,1000,64,133.17647059,165.0,204.74757282
MI300X,R1000,pie,6,1000,1000,64,134.05555556,,208.96598639
MI300X,R12000,ad_ptycho,1,1000,12000,64,132.6,,150.94444444
MI300X,R12000,ad_ptycho,2,1000,12000,64,135.5,,164.45
MI300X,R12000,ad_ptycho,4,1000,12000,64,133.1,,181.875
MI300X,R12000,ad_ptycho,6,1000,12000,64,132.65,,191.25925926
MI300X,R12000,bh,1,1000,12000,64,133.7,,143.94117647
MI300X,R12000,bh,2,1000,12000,64,135.4,,150.58823529
MI300X,R12000,bh,4,1000,12000,64,133.2,,160.02631579
MI300X,R12000,bh,6,1000,12000,64,133.55,,170.0
MI300X,R12000,dm,1,1000,12000,64,134.25,,157.63157895
MI300X,R12000,dm,2,1000,12000,64,136.0,,170.61904762
MI300X,R12000,dm,4,1000,12000,64,134.75,,184.08
MI300X,R12000,dm,6,1000,12000,64,134.9,,191.62068966
MI300X,R12000,lsqml,1,1000,12000,64,133.2,,149.27777778
MI300X,R12000,lsqml,2,1000,12000,64,133.6,182.0,156.73684211
MI300X,R12000,lsqml,4,1000,12000,64,134.35,,179.0
MI300X,R12000,lsqml,6,1000,12000,64,133.55,,194.48275862
MI300X,R12000,pie,1,1000,12000,64,134.2,,217.32246377
MI300X,R12000,pie,2,1000,12000,64,134.45,,221.70949721
MI300X,R12000,pie,4,1000,12000,64,134.75,,224.1556829
MI300X,R12000,pie,6,1000,12000,64,134.45,,225.31662269
MI300X,R2000,ad_ptycho,1,1000,2000,64,133.72222222,,139.6875
MI300X,R2000,ad_ptycho,2,1000,2000,64,133.72222222,,137.1875
MI300X,R2000,ad_ptycho,4,1000,2000,64,134.94444444,,144.35294118
MI300X,R2000,ad_ptycho,6,1000,2000,64,133.11111111,,144.70588235
MI300X,R2000,bh,1,1000,2000,64,134.55555556,,134.06666667
MI300X,R2000,bh,2,1000,2000,64,135.27777778,,135.6875
MI300X,R2000,bh,4,1000,2000,64,135.88888889,,138.59375
MI300X,R2000,bh,6,1000,2000,64,133.55555556,,139.34375
MI300X,R2000,dm,1,1000,2000,64,137.22222222,,138.9375
MI300X,R2000,dm,2,1000,2000,64,133.94444444,,137.9375
MI300X,R2000,dm,4,1000,2000,64,135.27777778,,149.23529412
MI300X,R2000,dm,6,1000,2000,64,136.05555556,,152.22222222
MI300X,R2000,lsqml,1,1000,2000,64,135.16666667,,140.0
MI300X,R2000,lsqml,2,1000,2000,64,134.66666667,,139.4375
MI300X,R2000,lsqml,4,1000,2000,64,135.38888889,,144.88235294
MI300X,R2000,lsqml,6,1000,2000,64,133.61111111,,152.88888889
MI300X,R2000,pie,1,1000,2000,64,133.61111111,,195.50847458
MI300X,R2000,pie,2,1000,2000,64,134.77777778,,205.44660194
MI300X,R2000,pie,4,1000,2000,64,133.83333333,175.0,211.41081081
MI300X,R2000,pie,6,1000,2000,64,135.94444444,,214.21167883
MI300X,R4000,ad_ptycho,1,1000,4000,64,132.94444444,,141.0
MI300X,R4000,ad_ptycho,2,1000,4000,64,133.16666667,206.0,139.0
MI300X,R4000,ad_ptycho,4,1000,4000,64,133.72222222,,149.22222222
MI300X,R4000,ad_ptycho,6,1000,4000,64,132.88888889,,155.31578947
MI300X,R4000,bh,1,1000,4000,64,133.55555556,,133.90322581
MI300X,R4000,bh,2,1000,4000,64,132.5,,139.125
MI300X,R4000,bh,4,1000,4000,64,133.05555556,,143.21212121
MI300X,R4000,bh,6,1000,4000,64,132.27777778,179.0,144.06060606
MI300X,R4000,dm,1,1000,4000,64,134.11111111,,140.4375
MI300X,R4000,dm,2,1000,4000,64,135.66666667,,146.16666667
MI300X,R4000,dm,4,1000,4000,64,134.72222222,,151.78947368
MI300X,R4000,dm,6,1000,4000,64,134.88888889,200.0,159.73684211
MI300X,R4000,lsqml,1,1000,4000,64,132.83333333,176.0,135.46666667
MI300X,R4000,lsqml,2,1000,4000,64,135.55555556,,141.76470588
MI300X,R4000,lsqml,4,1000,4000,64,133.5,,150.0
MI300X,R4000,lsqml,6,1000,4000,64,132.38888889,,157.95
MI300X,R4000,pie,1,1000,4000,64,132.88888889,,204.68316832
MI300X,R4000,pie,2,1000,4000,64,134.05555556,,211.23243243
MI300X,R4000,pie,4,1000,4000,64,134.66666667,206.0,215.60734463
MI300X,R4000,pie,6,1000,4000,64,135.0,,217.2238806
MI300X,R8000,ad_ptycho,1,1000,8000,64,133.26315789,,142.17647059
MI300X,R8000,ad_ptycho,2,1000,8000,64,133.57894737,,149.33333333
MI300X,R8000,ad_ptycho,4,1000,8000,64,132.36842105,,168.85714286
MI300X,R8000,ad_ptycho,6,1000,8000,64,133.63157895,,176.69565217
MI300X,R8000,bh,1,1000,8000,64,133.05263158,,139.96875
MI300X,R8000,bh,2,1000,8000,64,133.63157895,,143.78787879
MI300X,R8000,bh,4,1000,8000,64,133.78947368,,152.08571429
MI300X,R8000,bh,6,1000,8000,64,132.36842105,179.0,158.45945946
MI300X,R8000,dm,1,1000,8000,64,133.47368421,,153.27777778
MI300X,R8000,dm,2,1000,8000,64,135.05263158,,154.89473684
MI300X,R8000,dm,4,1000,8000,64,132.47368421,,177.0
MI300X,R8000,dm,6,1000,8000,64,134.84210526,,175.20833333
MI300X,R8000,lsqml,1,1000,8000,64,133.89473684,,144.88235294
MI300X,R8000,lsqml,2,1000,8000,64,133.89473684,,155.26315789
MI300X,R8000,lsqml,4,1000,8000,64,133.31578947,,167.14285714
MI300X,R8000,lsqml,6,1000,8000,64,132.31578947,174.0,178.17391304
MI300X,R8000,pie,1,1000,8000,64,133.84210526,,212.61578947
MI300X,R8000,pie,2,1000,8000,64,134.42105263,,218.79624665
MI300X,R8000,pie,4,1000,8000,64,134.0,,221.16384181
MI300X,R8000,pie,6,1000,8000,64,135.84210526,,222.18768328
