gpu,dataset,algorithm,epochs,batch_size,raw_images,N,io_power_w,setup_power_w,recon_power_w
A100,R2000,bh,2,1000,2000,64,32.62666667,33.44,59.92
A100,R2000,bh,4,1000,2000,64,32.70333333,,35.91666667
A100,R2000,bh,6,1000,2000,64,32.1575,,63.1925
A100,R2000,dm,1,1000,2000,64,32.82333333,33.45,33.87
A100,R2000,dm,2,1000,2000,64,32.53333333,,51.83
A100,R2000,dm,4,1000,2000,64,32.9575,73.11,43.61
A100,R2000,dm,6,1000,2000,64,32.24,33.44,35.96
A100,R2000,lsqml,1,1000,2000,64,32.82333333,33.45,
A100,R2000,lsqml,2,1000,2000,64,32.43666667,33.36,37.4
A100,R2000,lsqml,4,1000,2000,64,32.2775,,43.54333333
A100,R2000,lsqml,6,1000,2000,64,32.5,33.45,46.50666667
A100,R2000,pie,1,1000,2000,64,32.81,33.35,34.52636364
A100,R2000,pie,2,1000,2000,64,33.1775,34.62,34.60301887
A100,R2000,pie,4,1000,2000,64,32.2325,38.92,34.64884615
A100,R2000,pie,6,1000,2000,64,32.37666667,37.98,34.62168224
A100,R4000,ad_ptycho,1,1000,4000,64,33.025,,42.94
A100,R4000,ad_ptycho,2,1000,4000,64,31.988,,35.72333333
A100,R4000,ad_ptycho,4,1000,4000,64,32.20333333,37.11,53.65
A100,R4000,ad_ptycho,6,1000,4000,64,34.296,,41.85833333
A100,R4000,bh,1,1000,4000,64,32.46666667,,36.205
A100,R4000,bh,2,1000,4000,64,32.61,,35.41
A100,R4000,bh,4,1000,4000,64,32.01,,40.072
A100,R4000,bh,6,1000,4000,64,32.682,,48.65571429
A100,R4000,dm,1,1000,4000,64,33.96,,34.22
A100,R4000,dm,2,1000,4000,64,32.52571429,,34.07
A100,R4000,dm,4,1000,4000,64,32.568,,40.132
A100,R4000,dm,6,1000,4000,64,31.99,,38.8
A100,R4000,lsqml,1,1000,4000,64,32.5075,,38.045
A100,R4000,lsqml,2,1000,4000,64,32.175,33.43,36.565
A100,R4000,lsqml,4,1000,4000,64,33.48428571,,48.64
A100,R4000,lsqml,6,1000,4000,64,32.198,,42.33857143
A100,R4000,pie,1,1000,4000,64,33.574,,34.578
A100,R4000,pie,2,1000,4000,64,32.3975,,34.60919283
A100,R4000,pie,4,1000,4000,64,32.25,,34.68239336
A100,R4000,pie,6,1000,4000,64,33.0575,,34.61614458
A100,R8000,ad_ptycho,1,1000,8000,64,33.52333333,,52.57
A100,R8000,ad_ptycho,2,1000,8000,64,31.97166667,,47.865
A100,R8000,ad_ptycho,4,1000,8000,64,32.12166667,,45.502
A100,R8000,ad_ptycho,6,1000,8000,64,32.432,,49.83538462
A100,R8000,bh,1,1000,8000,64,31.91571429,34.01,51.21333333
A100,R8000,bh,2,1000,8000,64,32.43571429,33.47,45.1575
A100,R8000,bh,4,1000,8000,64,31.925,34.01,51.55875
A100,R8000,bh,6,1000,8000,64,32.722,,50.17615385
A100,R8000,dm,1,1000,8000,64,33.475,,36.575
A100,R8000,dm,2,1000,8000,64,32.0,33.49,55.195
