gpu,dataset,algorithm,epochs,batch_size,raw_images,resolution_y,resolution_x,N,io_load_time_s,setup_time_s,task_setup_time_s,reconstruction_run_time_s,save_time_s,total_time_s,log_file,power_duration_s,power_avg_w,power_min_w,power_max_w,power_energy_j,power_samples,power_csv,input_pixels,io_stage_s,prep_stage_s,pre_recon_s,num_batches,warmup_epoch,flops_per_image_epoch,flops_per_image_epoch_gflops,total_recon_gflops,fit_reconstruction
A100,R1000,dm,4,1000,1000,64,64,64,0.307874,0.00534,0.069591,0.418102,0.0,0.801495,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/dm/e4_bs1000.log,0.64,37.404,33.72,47.34,22.548,5,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/dm/e4_bs1000_power.csv,4096000,0.307874,0.074931,0.382805,1,False,1474560.0,0.00147456,5.89824,True
A100,R1000,dm,6,1000,1000,64,64,64,0.306937,0.006187,0.088549,0.519398,0.0,0.921731,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/dm/e6_bs1000.log,0.63,33.412,31.41,36.97,20.292,5,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/dm/e6_bs1000_power.csv,4096000,0.306937,0.094736,0.401673,1,False,1474560.0,0.00147456,8.84736,True
A100,R1000,lsqml,1,1000,1000,64,64,64,0.307716,0.004872,0.078182,0.264952,0.0,0.656527,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/lsqml/e1_bs1000.log,0.44,33.589999999999996,31.5,34.79,13.765,4,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/lsqml/e1_bs1000_power.csv,4096000,0.307716,0.083054,0.39076999999999995,1,True,983040.0,0.00098304,0.98304,False
A100,R1000,lsqml,2,1000,1000,64,64,64,0.536307,0.004801,0.094038,0.458226,0.0,1.093958,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/lsqml/e2_bs1000.log,0.65,37.446000000000005,33.44,49.05,22.509000000000004,5,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/lsqml/e2_bs1000_power.csv,4096000,0.536307,0.098839,0.6351459999999999,1,False,983040.0,0.00098304,1.96608,True
A100,R1000,lsqml,4,1000,1000,64,64,64,0.532975,0.004888,0.078779,0.459981,0.0,1.077196,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/lsqml/e4_bs1000.log,0.64,33.672000000000004,31.5,37.42,20.48,5,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/lsqml/e4_bs1000_power.csv,4096000,0.532975,0.083667,0.616642,1,False,983040.0,0.00098304,3.93216,True
A100,R1000,lsqml,6,1000,1000,64,64,64,0.308642,0.004828,0.092726,0.550053,0.0,0.95688,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/lsqml/e6_bs1000.log,0.84,34.458333333333336,31.41,39.74,28.205999999999996,6,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/lsqml/e6_bs1000_power.csv,4096000,0.308642,0.097554,0.406196,1,False,983040.0,0.00098304,5.89824,True
A100,R1000,pie,1,1000,1000,64,64,64,2.031461,0.004689,0.501472,8.45391,0.0,10.992708,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/pie/e1_bs1000.log,10.78,33.84018181818181,31.32,34.6,364.52624999999995,55,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/pie/e1_bs1000_power.csv,4096000,2.031461,0.5061610000000001,2.5376220000000003,1,True,819200.0,0.0008192,0.8192,False
A100,R1000,pie,2,1000,1000,64,64,64,0.536746,0.004799,0.075742,10.693535,0.0,11.311431,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/pie/e2_bs1000.log,10.85,34.64089285714285,31.51,35.92,375.19095,56,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/pie/e2_bs1000_power.csv,4096000,0.536746,0.080541,0.6172869999999999,1,False,819200.0,0.0008192,1.6384,True
A100,R1000,pie,4,1000,1000,64,64,64,0.308666,0.004799,0.06391,21.191832,0.0,21.569988,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/pie/e4_bs1000.log,21.27,34.63962962962963,33.52,37.49,735.3934,108,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/pie/e4_bs1000_power.csv,4096000,0.308666,0.06870899999999999,0.377375,1,False,819200.0,0.0008192,3.2768,True
A100,R1000,pie,6,1000,1000,64,64,64,0.30158,0.004776,0.080376,31.432024,0.0,31.819608,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/pie/e6_bs1000.log,31.66,34.590250000000005,32.0,37.21,1094.69245,160,/home/zhong.zheng/pty-chi/modeling_exp/A100/R1000/pie/e6_bs1000_power.csv,4096000,0.30158,0.085152,0.386732,1,False,819200.0,0.0008192,4.9152,True
A100,R12000,ad_ptycho,1,1000,12000,64,64,64,1.151754,0.004757,0.089754,1.001126,0.0,2.248134,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/ad_ptycho/e1_bs1000.log,1.83,40.61545454545455,31.5,70.88,72.962,11,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/ad_ptycho/e1_bs1000_power.csv,49152000,1.151754,0.094511,1.2462649999999997,12,True,1720320.0,0.00172032,20.64384,False
A100,R12000,ad_ptycho,2,1000,12000,64,64,64,1.148759,0.004672,0.095634,1.591484,0.0,2.841234,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/ad_ptycho/e2_bs1000.log,2.43,38.82928571428571,31.5,52.96,93.946,14,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/ad_ptycho/e2_bs1000_power.csv,49152000,1.148759,0.10030599999999999,1.249065,12,False,1720320.0,0.00172032,41.28768,True
A100,R12000,ad_ptycho,4,1000,12000,64,64,64,0.923783,0.004744,0.099737,2.726861,0.0,3.755815,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/ad_ptycho/e4_bs1000.log,3.63,45.64399999999999,31.6,70.99,166.96699999999998,20,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/ad_ptycho/e4_bs1000_power.csv,49152000,0.923783,0.104481,1.028264,12,False,1720320.0,0.00172032,82.57536,True
A100,R12000,ad_ptycho,6,1000,12000,64,64,64,1.143846,0.004714,0.092895,3.881272,0.0,5.123393,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/ad_ptycho/e6_bs1000.log,4.63,46.6488,31.5,70.2,219.41999999999996,25,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/ad_ptycho/e6_bs1000_power.csv,49152000,1.143846,0.097609,1.241455,12,False,1720320.0,0.00172032,123.86304,True
