Time(S),GPU0_Power(W)
0.11,144.54
0.11,144.94
0.31,153.88
0.51,164.42
0.71,174.86
0.91,185.52
1.11,195.30
1.31,197.98
1.51,198.18
1.71,198.37
1.91,198.16
2.11,198.19
2.31,198.23
2.51,198.23
2.71,198.20
2.91,198.21
3.11,198.22
3.31,198.20
3.51,198.19
3.71,198.24
3.91,198.29
4.11,198.29
4.31,198.31
4.51,198.33
4.71,198.32
4.91,198.29
5.11,198.36
5.31,198.46
5.51,198.43
5.71,198.43
5.91,198.45
6.11,198.37
6.31,198.28
6.51,198.32
6.71,198.32
6.91,198.36
7.11,198.44
7.31,198.48
7.51,198.45
7.71,198.47
7.91,198.46
8.11,198.37
8.31,198.35
8.51,198.36
8.71,198.33
8.91,198.32
9.11,198.37
