Time(S),GPU0_Power(W)
0.11,144.94
0.11,145.49
0.31,154.39
0.51,165.07
0.71,175.70
0.91,186.26
1.11,195.38
1.31,198.12
1.51,198.23
1.71,198.51
1.91,198.43
2.11,198.44
2.31,198.45
2.51,198.43
2.71,198.43
2.91,198.39
3.11,198.37
3.31,198.39
3.51,198.40
3.71,198.42
3.91,198.42
4.11,198.49
4.31,198.45
4.51,198.51
4.71,198.51
4.91,198.51
5.11,198.53
5.31,198.54
5.51,198.54
5.71,198.53
5.91,198.57
6.11,198.53
6.32,198.55
6.52,198.54
6.72,198.53
6.92,198.49
7.12,198.46
7.32,198.46
7.52,198.48
7.72,198.49
7.92,198.55
8.12,198.59
8.32,198.59
8.52,198.58
8.72,198.54
8.92,198.51
9.12,198.51
9.32,198.71
9.52,198.75
9.72,198.81
9.92,198.84
10.12,198.88
10.32,198.68
10.52,198.71
10.72,198.67
10.92,198.65
11.12,198.65
11.32,198.66
11.52,198.64
11.72,198.67
11.92,198.70
12.12,198.72
12.32,198.72
12.52,198.74
12.72,198.70
12.92,198.71
13.12,198.70
13.32,198.79
13.52,198.84
13.72,198.84
13.92,198.82
14.12,198.81
14.32,198.76
14.52,198.72
14.72,198.68
14.92,198.72
15.12,198.79
15.32,198.77
15.52,198.76
15.72,198.80
15.92,198.80
16.12,198.76
16.32,198.74
16.52,198.76
16.72,198.76
16.92,198.76
17.13,198.76
17.33,198.77
