Time(S),GPU0_Power(W)
0.02,84.16
0.02,84.17
0.22,92.54
0.42,103.64
0.62,114.31
0.82,124.09
1.02,134.52
1.22,137.56
1.42,137.37
1.62,137.06
1.82,137.09
2.02,137.06
2.22,137.02
2.42,137.00
2.62,136.96
2.82,136.94
3.02,136.96
3.22,136.98
3.42,136.94
3.62,136.90
3.82,136.98
4.02,136.97
4.22,136.98
4.42,137.00
4.62,137.07
4.82,137.05
5.02,137.09
5.22,137.06
5.42,137.04
5.62,137.04
5.82,136.99
6.02,137.00
6.22,137.04
6.42,137.09
6.62,137.13
6.82,137.16
7.02,137.12
7.22,137.12
7.42,137.07
7.62,136.99
7.83,137.02
8.03,137.04
8.23,137.11
8.43,137.10
8.63,137.08
8.83,137.08
9.03,137.09
9.23,137.05
9.43,137.09
9.63,137.12
9.83,137.09
10.03,137.09
10.23,137.09
10.43,137.07
10.63,137.11
10.83,137.04
11.03,137.01
11.23,136.90
11.43,137.20
11.63,137.24
11.83,137.29
12.03,137.33
12.23,137.42
12.43,137.12
12.63,137.14
12.83,137.18
13.03,137.18
13.23,137.20
13.43,137.31
13.63,137.29
13.83,137.24
14.03,137.19
14.23,137.18
14.43,137.12
14.63,137.15
14.83,137.21
15.03,137.28
15.23,137.28
15.43,137.34
15.63,137.24
15.83,137.17
16.03,137.11
16.23,137.14
16.43,137.09
16.63,137.13
16.83,137.14
17.03,137.14
17.23,137.11
17.43,137.05
17.63,137.07
17.83,137.10
18.03,137.12
18.24,137.10
18.44,137.15
18.64,137.13
18.84,137.07
19.04,137.11
19.24,137.12
19.44,137.12
19.64,137.14
19.84,137.20
20.04,137.17
20.24,137.24
20.44,137.24
20.64,137.21
20.84,137.17
21.04,137.19
21.24,137.05
21.44,137.07
21.64,137.13
21.84,137.18
22.04,137.21
