Time(S),GPU0_Power(W)
0.00,106.00
0.00,106.00
0.20,128.00
0.40,130.00
0.60,98.00
0.80,85.00
1.00,81.00
1.20,80.00
1.40,80.00
1.60,104.00
1.80,111.00
2.00,90.00
2.20,81.00
2.40,100.00
2.60,113.00
2.80,84.00
3.00,80.00
3.20,80.00
3.40,80.00
3.60,114.00
3.80,153.00
4.00,196.00
4.20,161.00
4.40,122.00
4.60,86.00
4.80,81.00
5.00,80.00
5.20,80.00
5.40,97.00
5.60,108.00
5.80,84.00
6.00,80.00
6.20,80.00
6.40,80.00
6.60,80.00
6.80,80.00
7.00,119.00
7.20,95.00
7.40,115.00
7.60,97.00
7.80,82.00
8.00,80.00
8.20,80.00
8.40,110.00
8.60,84.00
8.80,80.00
9.00,80.00
9.20,80.00
9.40,80.00
9.60,80.00
9.80,80.00
10.00,80.00
10.20,184.00
10.40,207.00
10.60,246.00
10.80,249.00
11.00,245.00
