Time(S),GPU0_Power(W)
0.00,115.00
0.00,115.00
0.20,128.00
0.40,130.00
0.60,94.00
0.80,84.00
1.00,80.00
1.20,80.00
1.40,80.00
1.60,118.00
1.80,122.00
2.00,90.00
2.20,82.00
2.40,80.00
2.60,80.00
2.80,80.00
3.00,80.00
3.20,108.00
3.40,84.00
3.60,128.00
3.80,155.00
4.00,199.00
4.20,158.00
4.40,100.00
4.60,83.00
4.80,80.00
5.00,80.00
5.20,80.00
5.40,105.00
5.60,89.00
5.80,81.00
6.00,80.00
6.20,80.00
6.40,80.00
6.60,80.00
6.80,80.00
7.00,119.00
7.20,85.00
7.40,116.00
7.60,130.00
7.80,129.00
8.00,114.00
8.20,85.00
8.40,110.00
8.60,84.00
8.80,81.00
9.00,80.00
9.20,80.00
9.40,80.00
9.60,85.00
9.80,106.00
10.00,84.00
10.20,184.00
10.40,204.00
10.60,244.00
10.80,249.00
11.00,248.00
11.20,248.00
11.40,240.00
