Time(S),GPU0_Power(W)
0.00,125.00
0.00,125.00
0.20,152.00
0.40,161.00
0.60,131.00
0.80,126.00
1.00,125.00
1.20,142.00
1.40,156.00
1.60,132.00
1.80,126.00
2.00,126.00
2.20,126.00
2.40,125.00
2.60,126.00
2.80,143.00
3.00,128.00
3.20,160.00
3.40,210.00
3.60,181.00
3.80,139.00
4.00,128.00
4.20,126.00
4.40,125.00
4.60,125.00
4.80,125.00
5.00,125.00
5.20,125.00
5.40,125.00
5.60,126.00
5.80,125.00
6.00,125.00
6.20,126.00
6.40,125.00
6.60,125.00
6.80,168.00
7.00,136.00
7.20,127.00
7.40,126.00
7.60,128.00
7.80,133.00
8.00,127.00
8.20,126.00
8.40,125.00
8.60,125.00
8.80,125.00
9.00,126.00
9.20,134.00
9.40,127.00
9.60,223.00
