Time(S),GPU0_Power(W)
0.00,107.00
0.00,107.00
0.20,127.00
0.40,130.00
0.60,131.00
0.80,98.00
1.00,86.00
1.20,89.00
1.40,94.00
1.60,82.00
1.80,80.00
2.00,105.00
2.20,89.00
2.40,81.00
2.60,80.00
2.80,80.00
3.00,80.00
3.20,81.00
3.40,86.00
3.60,94.00
3.80,82.00
4.00,138.00
4.20,148.00
4.40,201.00
4.60,176.00
4.80,113.00
5.00,84.00
5.20,81.00
5.40,80.00
5.60,80.00
5.80,81.00
6.00,80.00
6.20,80.00
6.40,80.00
6.60,80.00
6.80,80.00
7.00,80.00
7.20,110.00
7.40,98.00
7.60,125.00
7.80,205.00
8.00,201.00
8.20,219.00
8.40,223.00
8.60,239.00
8.80,149.00
9.00,94.00
9.20,186.00
9.40,238.00
9.60,230.00
9.80,230.00
10.00,238.00
