Time(S),GPU0_Power(W)
0.00,104.00
0.00,104.00
0.20,126.00
0.40,130.00
0.60,108.00
0.80,111.00
1.00,94.00
1.20,86.00
1.40,102.00
1.60,83.00
1.80,80.00
2.00,80.00
2.20,88.00
2.40,124.00
2.60,101.00
2.80,83.00
3.00,80.00
3.20,80.00
3.40,80.00
3.60,103.00
3.80,90.00
4.00,102.00
4.20,145.00
4.40,177.00
4.60,206.00
4.80,156.00
5.00,135.00
5.20,110.00
5.40,84.00
5.60,81.00
5.80,80.00
6.00,108.00
6.20,85.00
6.40,81.00
6.60,80.00
6.80,80.00
7.00,80.00
7.20,80.00
7.40,117.00
7.60,87.00
7.80,145.00
8.00,228.00
8.20,200.00
8.40,238.00
8.60,220.00
8.80,244.00
9.00,118.00
9.20,122.00
9.40,210.00
