Time(S),GPU0_Power(W)
0.17,72.32
0.17,72.30
0.43,72.27
0.70,72.24
0.90,72.25
1.25,72.23
1.45,79.59
1.65,89.32
1.85,98.90
2.05,107.99
2.25,116.67
2.45,119.70
2.65,124.14
2.85,129.66
