Time(S),GPU0_Power(W)
0.00,114.00
0.00,114.00
0.20,128.00
0.40,130.00
0.60,135.00
0.80,104.00
1.00,83.00
1.20,80.00
1.40,80.00
1.60,116.00
1.80,115.00
2.00,92.00
2.20,104.00
2.40,127.00
2.60,129.00
2.80,98.00
3.00,82.00
3.20,116.00
3.40,86.00
3.60,126.00
3.80,154.00
4.00,199.00
4.20,149.00
4.40,96.00
4.60,126.00
4.80,133.00
5.00,104.00
5.20,83.00
5.40,81.00
5.60,80.00
5.80,102.00
6.00,95.00
6.20,82.00
6.40,81.00
6.60,80.00
6.80,80.00
7.00,80.00
7.20,113.00
7.40,86.00
7.60,147.00
7.80,206.00
8.00,189.00
8.20,187.00
8.40,224.00
