Time(S),GPU0_Power(W)
0.02,83.60
0.02,83.86
0.22,94.44
0.42,105.08
0.62,115.38
0.82,126.52
1.02,136.06
1.22,136.57
1.42,136.13
1.62,136.07
1.82,136.12
2.02,136.24
2.22,136.29
2.42,136.27
2.62,136.26
2.82,136.26
3.02,136.15
3.22,136.07
3.42,136.01
3.62,135.94
3.82,135.83
4.02,135.85
4.22,135.91
4.42,136.01
4.62,136.05
4.83,136.13
5.03,136.06
5.23,136.00
5.43,136.12
5.63,136.13
5.83,136.12
6.03,136.20
6.23,136.23
6.43,136.16
6.63,136.10
6.83,136.14
7.03,136.14
7.23,136.13
7.43,136.12
7.63,136.16
7.83,136.11
8.03,136.15
8.23,136.16
8.43,136.15
8.63,136.18
8.83,136.12
9.03,136.11
9.23,136.09
9.43,136.18
9.63,136.16
9.83,136.28
10.03,136.23
10.23,136.19
