Time(S),GPU0_Power(W)
0.26,265.78
0.26,266.03
0.52,264.74
0.77,275.56
1.02,268.69
1.29,269.81
1.54,297.32
1.80,277.07
2.05,272.39
2.29,266.33
2.54,275.29
2.80,273.35
3.05,271.45
3.30,268.10
3.54,267.34
3.79,278.05
4.03,270.34
4.27,271.98
4.52,273.77
4.77,270.77
5.01,273.32
5.26,269.89
5.50,269.62
5.75,269.32
5.99,269.60
6.23,268.10
6.48,274.24
6.73,275.27
6.97,266.73
7.22,269.02
7.47,268.67
7.73,268.89
7.98,273.27
8.23,270.93
8.48,276.77
8.72,277.67
8.96,272.90
9.21,277.50
9.45,270.88
9.70,268.02
9.94,270.51
10.19,273.95
10.43,270.37
10.67,275.83
10.92,269.09
11.17,271.76
11.41,269.88
11.66,275.42
11.91,273.29
12.15,271.91
12.40,271.47
12.64,271.65
12.89,267.65
13.13,265.44
13.38,276.67
13.62,267.21
13.87,269.88
14.11,273.35
14.36,274.79
14.60,268.87
14.85,269.40
15.10,265.53
15.34,272.54
15.59,273.50
15.83,278.96
16.07,272.06
16.33,270.49
16.57,272.26
16.82,270.10
17.06,268.60
17.31,274.77
17.55,275.29
17.80,272.75
18.04,264.38
18.28,273.80
18.52,276.75
18.77,273.07
19.01,266.39
19.26,271.82
19.50,271.23
19.74,277.72
19.98,269.55
20.23,269.81
20.47,273.53
20.71,277.23
20.95,273.49
21.20,272.89
21.44,272.47
21.69,268.12
21.93,270.05
22.17,276.55
22.42,268.63
22.66,271.95
22.90,274.79
23.15,266.32
23.39,268.23
23.63,269.28
23.87,272.88
24.12,268.67
24.36,275.10
24.60,281.14
24.85,275.77
25.09,271.80
25.33,269.32
25.58,269.92
25.82,269.64
26.06,268.11
26.30,272.07
26.55,262.31
26.80,273.79
27.04,268.36
27.28,273.71
27.53,273.85
27.77,277.63
28.02,270.31
28.26,270.82
28.50,277.06
28.75,275.45
28.99,274.44
29.24,272.52
29.48,276.11
29.72,272.06
29.97,274.23
30.21,268.25
30.46,270.37
30.70,271.78
30.95,277.96
31.19,269.02
31.44,271.11
31.68,271.46
31.93,275.23
32.17,277.90
32.41,276.65
32.66,279.44
32.91,268.96
33.15,271.15
33.40,272.30
33.64,267.57
33.89,275.89
34.13,275.61
34.37,266.95
34.62,276.58
34.86,276.16
35.11,268.95
35.35,266.88
35.60,268.71
35.85,272.16
36.09,269.40
36.33,273.60
36.58,268.28
36.82,275.60
37.07,271.42
37.31,275.10
37.60,269.17
37.85,269.29
38.09,268.31
38.33,276.96
38.58,278.21
38.83,272.52
39.07,270.11
39.32,268.27
39.56,267.84
39.81,273.47
40.06,270.03
40.30,269.63
40.55,269.29
40.79,270.78
41.03,269.92
41.28,267.71
41.52,277.52
41.77,271.30
42.02,270.15
42.26,274.82
42.51,270.51
42.75,268.84
42.99,273.42
43.24,271.04
43.48,277.07
43.73,272.56
43.97,269.34
44.21,279.42
44.46,277.28
44.70,272.18
44.95,269.26
45.19,279.93
45.44,269.27
45.68,267.59
45.93,268.78
46.18,270.28
46.42,269.57
46.66,281.24
46.91,267.25
47.15,275.96
47.40,269.54
47.65,282.02
47.90,270.69
48.15,268.08
48.40,273.45
48.64,268.65
48.89,272.06
49.14,267.64
49.38,278.41
49.62,275.15
49.87,273.96
50.11,272.13
50.36,267.86
50.60,269.11
50.85,277.75
51.10,275.50
51.35,272.74
51.59,267.47
51.84,274.65
52.08,268.34
52.33,273.06
52.57,268.31
52.82,273.27
53.07,277.97
53.31,270.00
53.56,268.52
53.80,278.65
54.05,271.16
54.29,268.48
54.54,268.00
54.78,273.03
55.03,277.11
55.27,269.59
55.51,270.56
55.76,277.07
56.00,274.74
56.25,264.75
56.49,267.73
56.74,270.81
56.98,275.42
57.23,266.42
57.52,274.68
57.77,270.87
58.02,268.65
58.26,270.29
58.51,280.24
58.75,267.03
59.00,272.25
59.24,271.30
59.48,267.30
59.73,268.15
59.97,266.05
60.21,274.07
60.46,268.01
60.70,273.30
60.94,270.63
61.19,274.29
61.43,273.40
61.67,273.97
61.92,264.68
62.16,276.18
62.40,277.23
62.65,273.22
62.89,272.39
63.14,273.04
63.39,269.78
63.63,274.18
63.87,268.82
64.11,273.04
64.36,271.62
64.60,273.25
64.85,274.46
65.09,267.36
65.34,279.73
65.58,279.48
65.82,270.75
66.06,277.53
66.31,275.94
66.55,271.74
66.80,267.47
67.04,269.03
67.29,267.38
67.55,279.11
67.80,276.71
68.05,274.54
68.29,269.00
68.54,268.34
68.79,268.62
69.03,277.24
69.27,269.04
69.52,270.84
69.77,271.52
70.01,274.91
70.26,268.77
70.50,267.90
70.75,268.22
70.99,274.91
71.23,270.63
71.48,270.23
71.73,272.78
71.97,275.66
72.21,273.19
72.46,270.37
72.70,269.98
72.94,271.59
73.19,266.50
73.43,270.47
73.67,268.18
73.91,272.04
74.16,268.41
74.40,269.29
74.65,271.63
74.90,274.51
75.14,273.41
75.39,273.45
75.63,280.52
75.87,267.32
76.12,272.17
76.36,271.43
76.61,274.43
76.86,270.50
77.10,275.56
77.34,273.08
77.59,273.87
77.83,267.37
78.08,270.39
78.32,269.46
78.57,276.36
78.81,272.91
79.06,272.63
79.30,270.91
79.54,277.29
79.79,273.05
80.03,275.76
80.27,270.26
80.52,275.11
80.77,268.40
81.01,273.12
81.26,269.03
81.50,276.87
81.74,272.39
81.99,273.59
82.24,273.43
82.48,277.19
82.73,270.73
82.98,277.39
83.22,277.22
83.47,268.46
83.72,274.99
83.96,273.35
84.20,271.37
84.45,269.25
84.70,269.44
84.95,277.11
85.19,268.09
85.44,268.19
85.68,268.93
85.93,271.33
86.17,274.63
86.41,270.26
86.66,270.33
86.90,274.45
87.15,268.84
87.39,268.64
87.64,268.74
87.90,269.54
88.14,276.25
88.39,267.04
88.63,272.31
88.87,274.48
89.12,271.12
89.36,273.81
89.60,269.36
89.85,270.18
90.09,267.07
90.33,267.02
90.58,277.34
90.82,276.84
91.06,277.17
91.31,275.96
91.55,270.06
91.80,280.65
92.04,268.20
92.29,267.99
92.53,273.16
92.78,276.92
93.02,272.58
93.27,273.05
93.52,269.53
93.76,276.24
94.00,278.27
94.24,265.64
94.49,271.57
94.73,273.50
94.97,269.48
95.22,267.23
95.47,274.29
95.71,269.01
95.96,271.11
96.20,275.07
96.44,276.25
96.69,266.20
96.93,276.36
97.17,268.91
97.42,278.15
97.67,269.87
97.92,277.70
98.17,267.44
98.42,274.31
98.66,269.61
98.91,271.41
99.16,265.03
99.40,270.13
99.65,274.80
99.90,275.54
100.14,262.90
100.39,276.60
100.64,277.06
100.88,269.49
101.13,270.04
101.38,271.68
101.62,273.85
101.87,271.83
102.11,267.99
102.36,273.79
102.60,265.07
102.85,269.76
103.10,278.18
103.35,278.11
103.60,277.24
103.85,275.27
104.09,272.27
104.34,269.65
104.58,275.05
104.83,274.28
105.08,266.82
105.33,267.42
105.57,274.29
105.82,270.53
106.07,270.79
106.31,269.17
106.56,268.01
106.80,273.55
107.05,271.11
107.30,270.49
107.57,279.71
107.82,266.50
108.06,273.25
108.31,268.57
108.55,269.71
108.80,273.24
109.04,274.55
109.29,277.11
109.54,276.21
109.78,270.62
110.03,274.36
110.27,266.30
110.52,274.89
110.76,272.52
111.01,269.38
111.26,273.48
111.51,274.27
111.75,272.81
112.00,276.84
112.24,272.92
112.49,267.37
112.74,280.00
112.98,269.81
113.23,267.19
113.48,273.04
113.72,274.37
113.97,270.69
114.21,275.05
114.46,278.93
114.70,271.56
114.95,270.50
115.19,267.42
115.44,270.27
115.69,269.92
115.94,273.08
116.19,275.66
116.43,276.63
116.68,275.67
116.93,269.08
117.17,269.71
117.42,269.26
117.67,271.89
117.92,267.82
118.17,266.91
118.41,270.86
118.65,275.11
118.91,271.81
119.15,269.02
119.40,270.02
119.65,277.26
119.89,266.24
120.14,276.19
120.38,272.73
120.63,270.68
120.88,268.79
121.12,272.44
121.37,276.85
121.61,281.12
121.86,278.42
122.10,270.88
122.35,273.12
122.59,269.27
122.84,273.64
123.09,273.04
123.33,269.04
123.58,271.16
123.83,264.07
124.07,277.08
124.32,270.79
124.57,269.76
124.82,273.06
125.06,267.47
125.31,277.98
125.56,271.95
125.81,268.23
126.06,268.17
126.30,266.42
126.55,269.06
126.79,271.96
127.04,268.44
127.28,271.51
127.53,273.31
127.79,277.31
128.04,275.70
128.29,270.00
128.53,272.95
128.78,271.32
129.03,272.28
129.27,269.55
129.52,271.98
129.77,271.34
130.02,267.19
130.26,272.45
130.51,269.29
130.76,272.34
131.01,268.51
131.25,279.12
131.50,271.02
131.75,278.92
132.00,274.70
132.25,270.34
132.49,269.64
132.74,272.57
132.98,274.83
133.23,272.43
133.48,267.85
133.72,271.83
133.97,278.48
134.22,269.59
134.47,277.63
134.71,268.88
134.96,267.66
135.20,279.21
135.45,277.36
135.69,278.17
135.94,267.57
136.19,277.12
136.44,274.69
136.69,275.77
136.94,270.76
137.19,272.26
137.45,270.33
137.71,292.25
137.96,280.40
138.20,268.65
138.45,272.73
138.69,271.85
138.94,269.35
139.19,273.14
139.44,274.74
139.68,267.80
139.93,268.32
140.17,268.21
140.42,269.16
140.66,277.49
140.91,266.74
141.16,272.03
141.40,271.91
141.65,268.42
141.90,268.78
142.14,271.20
142.39,275.28
142.63,269.77
142.88,277.13
143.12,270.61
143.37,279.59
143.61,269.93
143.86,277.37
144.10,281.44
144.35,269.21
144.59,273.01
144.84,269.99
145.08,273.49
145.33,268.65
145.58,269.58
145.82,270.03
146.07,271.60
146.32,275.83
146.57,275.62
146.81,279.66
147.06,268.10
147.30,272.00
147.58,268.60
147.83,270.16
148.07,275.00
148.32,267.97
148.56,268.14
148.80,268.65
149.05,275.13
149.29,270.53
149.54,278.42
149.78,277.23
150.03,269.21
150.27,278.30
150.52,267.65
150.76,270.04
151.01,269.79
151.26,268.18
151.50,272.08
151.74,271.62
151.99,278.44
152.23,279.39
152.48,274.57
152.72,277.87
152.97,275.33
153.21,266.95
153.46,278.90
153.70,271.57
153.95,271.68
154.19,267.58
154.44,269.76
154.68,269.08
154.93,270.77
155.17,269.37
155.42,276.84
155.66,269.21
155.91,270.39
156.15,269.91
156.40,268.26
156.65,267.89
156.89,269.62
157.13,269.24
157.38,271.43
157.64,268.76
157.89,266.69
158.13,270.12
158.37,268.58
158.62,274.64
