Time(S),GPU0_Power(W)
0.00,126.00
0.00,126.00
0.20,125.00
0.40,125.00
0.60,152.00
0.80,161.00
1.00,132.00
1.20,127.00
1.40,126.00
1.60,141.00
1.80,144.00
2.00,128.00
2.20,126.00
2.40,125.00
2.60,126.00
2.80,126.00
3.00,126.00
3.20,143.00
3.40,128.00
3.60,161.00
3.80,211.00
4.00,248.00
4.20,209.00
4.40,157.00
4.60,130.00
4.80,126.00
5.00,126.00
5.20,126.00
5.40,127.00
5.60,127.00
5.80,126.00
6.00,126.00
6.20,126.00
6.40,125.00
6.60,126.00
6.80,125.00
7.00,134.00
7.20,127.00
7.40,161.00
7.60,154.00
7.80,130.00
8.00,126.00
8.20,126.00
8.40,145.00
8.60,130.00
8.80,126.00
9.00,125.00
9.20,126.00
9.40,125.00
9.60,125.00
9.80,126.00
10.00,125.00
10.20,169.00
10.40,273.00
