Time(S),GPU0_Power(W)
0.01,125.00
0.01,125.00
0.21,125.00
0.41,135.00
0.61,162.00
0.81,160.00
1.01,130.00
1.21,126.00
1.41,126.00
1.61,164.00
1.81,160.00
2.01,132.00
2.21,127.00
2.41,126.00
2.61,126.00
2.81,125.00
3.01,125.00
3.21,126.00
3.41,126.00
3.61,157.00
3.81,221.00
4.01,249.00
4.21,201.00
4.41,149.00
4.61,129.00
4.81,127.00
5.01,125.00
5.21,125.00
5.41,144.00
5.61,129.00
5.81,127.00
6.01,126.00
6.21,125.00
6.41,125.00
6.61,125.00
6.81,139.00
7.01,131.00
7.21,126.00
7.41,168.00
7.61,136.00
7.81,127.00
8.01,126.00
8.21,140.00
8.41,131.00
8.61,126.00
8.81,126.00
9.01,126.00
9.21,125.00
9.41,125.00
9.61,141.00
9.81,128.00
10.01,224.00
10.21,260.00
10.41,288.00
