Time(S),GPU0_Power(W)
0.26,267.41
0.26,275.23
0.51,266.02
0.76,267.74
1.01,266.34
1.27,275.89
1.53,274.98
1.79,289.88
2.04,287.40
2.29,267.76
2.54,274.06
2.79,270.43
3.04,272.47
3.29,267.32
3.54,274.32
3.79,274.89
4.04,275.00
4.28,267.84
4.54,270.61
4.79,270.56
5.04,271.12
5.29,273.04
5.53,267.85
5.78,271.86
6.03,272.15
6.28,268.04
6.53,272.26
6.77,272.55
7.02,275.61
7.26,271.84
7.51,278.20
7.75,272.43
8.00,270.24
8.25,268.34
8.49,271.98
8.74,275.62
8.98,267.58
9.22,274.99
9.47,280.93
9.71,276.22
9.95,268.56
10.20,267.82
10.44,269.95
10.68,270.13
10.93,277.62
11.17,278.69
11.42,269.59
11.66,268.72
11.91,272.02
12.15,277.07
12.39,268.64
12.64,271.30
12.88,267.62
13.13,269.20
13.37,271.83
13.62,270.59
13.86,269.17
14.10,270.73
14.35,272.54
14.62,271.41
14.87,268.05
15.12,271.50
15.36,268.31
15.61,263.90
15.86,274.18
16.10,277.48
16.35,270.30
16.59,274.52
16.84,267.76
17.09,275.09
17.33,270.38
17.58,270.82
17.82,273.91
18.07,269.00
18.31,276.09
18.55,271.54
18.80,272.55
19.04,275.18
19.29,267.83
19.53,272.41
19.78,267.91
20.02,268.14
20.27,278.65
20.51,274.43
20.75,267.52
21.00,274.03
21.24,270.39
21.49,266.40
21.73,269.77
21.98,268.07
22.22,271.65
22.47,281.33
22.71,266.96
22.96,275.27
23.21,272.69
23.45,277.26
23.69,269.91
23.94,270.29
24.18,273.80
24.45,272.11
24.71,279.22
24.96,273.31
25.20,273.86
25.45,271.92
25.69,269.97
25.94,269.02
26.19,275.24
26.43,271.26
26.68,276.81
26.92,273.41
27.17,269.71
27.42,268.24
27.66,267.37
27.91,271.93
28.16,270.38
28.40,270.16
28.65,276.04
28.89,268.30
29.14,279.26
29.38,275.67
29.63,271.59
29.87,269.94
30.12,271.59
30.36,270.12
30.61,274.46
30.85,270.77
31.10,268.33
31.34,271.50
31.59,273.21
31.84,269.69
32.08,267.41
32.33,267.57
32.57,274.44
32.82,268.83
33.07,275.61
33.31,272.66
33.56,278.92
33.81,275.58
34.05,272.85
34.30,270.04
34.55,278.74
34.79,275.68
35.04,273.50
35.29,269.91
35.53,271.19
35.78,273.81
36.02,270.83
36.27,269.88
36.51,268.02
36.76,267.78
37.00,272.75
37.25,269.98
37.49,280.25
37.74,278.51
37.98,274.12
38.23,278.31
38.47,273.44
38.72,268.10
38.96,268.34
39.21,275.08
39.45,267.82
39.70,272.67
39.95,268.21
40.19,271.72
40.44,268.89
40.69,277.29
40.93,272.84
41.18,269.45
41.42,269.81
41.67,276.22
41.91,274.52
42.16,273.38
42.40,276.36
42.65,273.15
42.90,268.79
43.14,275.96
43.39,272.51
43.63,267.41
