Time(S),GPU0_Power(W)
0.26,276.70
0.26,263.15
0.52,279.24
0.77,271.67
1.02,274.88
1.28,269.53
1.54,271.23
1.80,295.87
2.05,290.96
2.31,269.23
2.56,267.09
2.81,267.90
3.06,271.72
3.31,269.28
3.56,269.59
3.80,269.74
4.05,279.43
4.29,271.80
4.54,273.50
4.78,276.06
5.03,270.23
5.28,269.16
5.52,263.43
5.77,270.82
6.01,280.87
6.26,278.27
6.50,269.02
6.74,268.69
6.99,270.20
7.24,267.54
7.48,275.64
7.73,281.38
7.97,269.59
8.22,269.56
8.46,272.84
8.71,271.40
8.95,274.74
9.20,265.72
9.44,265.20
9.68,271.82
9.93,279.54
10.17,277.72
10.42,276.21
10.66,268.34
10.91,267.15
11.15,277.22
11.40,271.01
11.64,270.82
11.88,287.87
12.13,273.53
12.37,269.45
12.63,276.46
12.87,273.30
13.11,269.84
13.36,276.18
13.60,273.06
13.85,275.56
14.09,282.34
14.33,266.86
14.58,273.01
14.82,267.44
15.06,269.75
15.31,270.57
15.56,270.20
15.80,273.68
16.05,267.75
16.29,272.15
16.54,272.54
16.78,267.66
17.02,280.73
17.26,275.12
17.51,266.81
17.75,268.65
17.99,266.76
18.24,281.00
18.48,271.47
18.72,265.23
18.96,281.13
19.21,274.73
19.45,267.11
19.69,267.96
19.94,279.24
20.18,281.47
20.43,271.02
20.67,266.26
20.92,277.15
21.16,268.84
21.40,277.68
21.65,279.77
21.89,270.89
22.13,275.00
22.37,269.02
22.63,266.02
22.88,270.75
23.12,280.18
23.37,271.08
23.61,269.16
23.86,269.93
24.10,275.42
24.34,267.34
24.59,270.38
24.84,272.82
25.08,271.59
25.33,266.38
25.59,266.24
25.83,269.97
26.08,270.40
26.32,267.72
26.57,268.57
26.81,268.85
27.06,267.66
27.30,272.70
27.54,268.76
27.79,269.94
28.03,270.17
28.27,277.03
28.52,269.90
28.76,270.29
29.00,270.72
29.25,270.13
29.49,274.54
29.73,277.97
29.98,274.93
30.22,270.65
30.46,268.44
30.71,268.93
30.95,274.03
31.19,272.29
31.44,269.64
31.68,271.00
31.92,282.59
32.17,268.72
32.41,280.04
32.65,269.02
32.90,267.79
33.14,270.23
33.38,273.50
33.63,271.15
33.87,266.20
34.11,276.90
34.36,277.54
34.60,268.80
34.84,273.94
35.09,268.20
35.33,267.48
35.58,270.54
35.82,271.12
36.07,269.69
36.31,273.47
36.55,269.48
36.80,271.13
37.04,276.58
37.29,271.59
37.53,268.63
37.78,270.16
38.02,267.59
38.26,271.45
38.51,267.73
38.75,272.94
39.00,268.65
39.24,276.73
39.49,271.27
39.73,269.75
39.97,277.71
40.22,274.43
40.46,270.29
40.70,267.82
40.95,279.34
41.19,268.39
41.43,269.30
41.68,275.85
41.92,274.54
42.17,265.76
42.41,271.07
42.66,269.10
42.90,269.31
43.16,278.47
43.40,273.83
43.65,267.25
43.89,277.78
44.13,275.57
44.38,268.60
44.62,274.43
44.86,271.50
45.11,268.03
45.35,279.11
45.60,269.17
45.85,262.98
46.10,267.24
46.34,275.54
46.58,269.02
46.83,280.45
47.08,269.74
47.32,271.74
47.57,263.90
47.81,277.40
48.05,270.23
48.30,273.83
48.54,268.63
48.79,273.19
49.03,275.09
49.28,274.11
49.52,276.95
49.77,275.60
50.01,277.22
50.25,273.94
50.50,279.33
50.74,278.00
50.99,272.36
51.23,269.91
51.49,273.39
51.73,270.47
51.98,268.46
52.22,273.57
52.47,269.07
52.71,271.71
52.95,266.39
53.20,268.85
53.45,272.18
53.69,268.08
53.93,271.29
54.18,271.07
54.42,278.32
54.66,267.37
54.91,269.65
55.15,271.30
55.39,272.00
55.64,274.00
55.89,276.46
56.13,268.83
56.37,270.37
56.62,274.50
56.86,278.50
57.10,277.46
57.35,276.13
57.59,274.91
57.84,269.21
58.08,270.86
58.33,268.47
58.57,269.20
58.82,275.71
59.06,276.52
59.30,275.17
59.55,270.13
59.79,271.65
60.04,269.19
