Time(S),GPU0_Power(W)
0.00,125.00
0.00,125.00
0.20,125.00
0.40,151.00
0.60,161.00
0.80,132.00
1.00,126.00
1.20,125.00
1.40,139.00
1.60,156.00
1.80,134.00
2.00,128.00
2.20,126.00
2.40,125.00
2.60,125.00
2.80,125.00
3.00,126.00
3.20,126.00
3.40,162.00
3.60,210.00
3.80,229.00
4.00,179.00
4.20,137.00
4.40,127.00
4.60,126.00
4.80,126.00
5.00,126.00
5.20,126.00
5.40,126.00
5.60,126.00
5.80,126.00
6.00,126.00
6.20,125.00
6.40,125.00
6.60,126.00
6.80,125.00
7.00,137.00
7.20,154.00
7.40,130.00
7.60,126.00
7.80,125.00
8.00,141.00
8.20,128.00
8.40,126.00
8.60,125.00
8.80,125.00
9.00,125.00
9.20,133.00
9.40,131.00
9.60,131.00
9.80,250.00
10.00,283.00
10.21,289.00
10.41,273.00
