Time(S),GPU0_Power(W)
0.27,275.13
0.27,269.32
0.52,268.03
0.76,268.60
1.02,278.54
1.27,287.50
1.53,269.03
1.78,269.32
2.03,271.94
2.29,279.99
2.53,267.71
2.78,272.94
3.02,269.48
3.27,274.29
3.51,269.18
3.76,269.23
4.01,270.61
4.26,274.06
4.50,269.61
4.75,274.35
5.00,267.99
5.24,277.86
5.49,268.02
5.73,268.44
5.98,272.50
6.22,267.80
6.47,268.45
6.71,272.03
6.95,269.60
7.20,271.17
7.44,270.07
7.68,278.39
7.94,278.85
8.19,277.89
8.44,270.24
8.68,272.52
8.93,275.00
9.17,269.00
9.42,268.16
9.66,270.28
9.91,266.58
10.15,268.63
10.40,270.02
10.65,269.68
10.89,268.34
11.14,267.95
11.38,272.19
11.63,277.99
11.87,274.28
12.12,271.91
12.37,271.89
12.61,265.08
12.86,271.16
13.11,275.40
13.35,268.92
13.60,271.43
13.84,275.31
14.09,273.98
14.33,272.28
14.58,270.70
14.82,276.59
15.07,269.58
15.32,268.22
15.56,269.99
15.81,272.53
16.05,275.40
16.30,275.29
16.54,268.41
16.79,269.23
17.04,269.69
17.28,280.78
17.53,265.19
17.81,277.63
18.05,275.28
18.30,268.39
18.54,279.30
18.78,272.84
19.03,276.94
19.28,277.75
19.52,271.53
19.76,272.32
20.01,277.54
20.25,268.90
20.50,271.36
20.74,268.82
20.98,268.49
21.23,271.76
21.47,269.93
21.71,272.34
21.96,268.70
22.20,268.84
22.45,267.86
22.69,269.89
22.93,272.76
23.18,267.65
23.42,272.66
23.67,271.79
23.92,282.13
24.16,268.96
24.41,271.45
