Time(S),GPU0_Power(W)
0.03,31.41
0.03,31.71
0.23,31.50
0.43,35.47
0.63,33.53
0.83,33.38
1.03,39.92
1.23,35.56
1.43,35.66
1.63,35.55
1.83,35.45
2.03,35.45
2.23,35.55
2.43,35.45
2.63,35.55
2.83,35.45
3.03,34.69
3.23,34.69
3.43,34.79
3.63,34.77
3.83,34.69
4.03,34.69
4.23,34.77
4.43,34.69
4.63,34.68
4.83,34.69
5.03,34.69
5.23,34.69
5.43,34.69
5.63,34.69
5.83,34.69
6.03,34.69
6.23,34.69
6.43,34.79
6.63,34.69
6.83,34.69
7.03,34.68
7.23,34.68
7.43,34.69
7.63,34.69
7.83,34.69
8.03,34.78
8.24,34.69
8.44,34.69
8.64,34.69
8.84,34.68
9.04,34.77
9.24,34.69
9.44,34.87
9.64,34.69
9.84,34.68
10.04,34.69
10.24,34.69
10.44,34.69
10.64,34.68
10.84,34.68
11.04,34.69
11.24,34.68
11.44,34.68
11.64,34.69
11.84,34.69
12.04,34.69
12.24,34.77
12.44,34.69
12.64,34.69
12.84,34.69
13.04,34.69
13.24,34.69
13.44,34.69
13.64,34.69
13.84,34.77
14.04,34.69
14.24,34.69
14.44,34.69
14.64,34.79
14.84,34.88
15.04,34.68
15.24,34.69
15.44,34.77
15.64,34.68
15.84,34.79
16.04,34.69
16.24,34.68
16.44,34.69
16.64,34.69
16.84,34.77
17.04,34.79
17.24,34.69
17.44,34.78
17.64,34.69
17.85,34.77
18.05,34.68
18.25,34.69
18.45,34.78
18.65,34.69
18.85,34.69
19.05,34.78
19.25,34.59
19.45,34.69
19.65,34.79
19.85,34.69
20.05,34.78
20.25,34.69
20.45,34.78
20.65,34.77
20.85,34.79
21.05,34.78
21.25,34.68
21.45,34.77
21.65,34.77
21.85,34.78
22.05,34.78
22.25,34.77
22.45,34.69
22.65,34.78
22.85,34.77
23.05,34.69
23.25,34.78
23.45,34.78
23.65,34.69
23.85,34.67
24.05,34.69
24.25,34.69
24.45,34.60
24.65,34.60
24.85,34.79
25.05,34.69
25.25,34.79
25.45,34.79
25.65,34.79
25.85,34.79
26.05,34.79
26.25,34.79
26.45,34.79
26.65,34.88
26.85,34.79
27.05,34.79
27.25,34.88
27.46,34.88
27.66,34.98
27.86,34.98
28.06,35.08
28.26,34.88
28.46,34.69
28.66,34.69
28.86,34.69
29.06,34.69
29.26,34.69
29.46,34.69
29.66,34.69
29.86,34.88
30.06,34.69
30.26,34.69
30.46,34.69
30.66,34.79
30.86,34.79
31.06,34.79
31.26,34.79
31.46,34.69
31.66,34.79
31.86,34.69
32.06,34.79
32.26,34.79
32.46,34.69
32.66,34.79
32.86,34.69
33.06,34.79
33.26,34.69
33.46,34.69
33.66,34.79
33.86,34.61
34.06,34.70
34.26,34.69
34.46,34.69
34.66,34.69
34.86,34.60
35.06,34.60
35.26,34.69
35.46,34.69
35.66,34.69
35.86,34.69
36.06,34.69
36.26,34.60
36.46,34.69
36.66,34.69
36.87,34.69
37.07,34.60
37.27,34.69
37.47,34.60
37.67,34.69
37.87,34.70
38.07,34.69
38.27,34.69
38.47,34.60
38.67,34.69
38.87,34.69
39.07,34.60
39.27,34.69
39.47,34.60
39.67,34.60
39.87,34.69
40.07,34.60
40.27,34.70
40.47,34.69
40.67,34.60
40.87,34.69
41.07,34.69
41.27,34.60
41.47,34.60
41.67,34.60
41.87,34.60
42.07,34.69
42.27,34.60
42.47,34.60
42.67,34.60
42.87,34.70
43.07,34.60
