Time(S),GPU0_Power(W)
0.00,125.00
0.00,125.00
0.20,125.00
0.40,125.00
0.60,161.00
0.80,162.00
1.00,131.00
1.20,126.00
1.40,126.00
1.60,140.00
1.80,156.00
2.00,133.00
2.20,127.00
2.40,126.00
2.60,126.00
2.80,125.00
3.00,125.00
3.20,125.00
3.40,126.00
3.60,147.00
3.80,209.00
4.00,247.00
4.20,207.00
4.40,147.00
4.60,129.00
4.80,126.00
5.00,126.00
5.20,125.00
5.40,137.00
5.60,127.00
5.80,125.00
6.00,125.00
6.20,125.00
6.40,126.00
6.60,136.00
6.80,131.00
7.00,143.00
7.20,265.00
7.40,252.00
7.60,294.00
7.80,274.00
8.00,251.00
8.20,247.00
8.40,291.00
