Time(S),GPU0_Power(W)
0.00,125.00
0.00,125.00
0.20,126.00
0.40,126.00
0.60,153.00
0.80,161.00
1.00,131.00
1.20,126.00
1.40,125.00
1.60,141.00
1.80,144.00
2.00,128.00
2.20,126.00
2.40,126.00
2.60,126.00
2.80,126.00
3.00,125.00
3.20,125.00
3.40,126.00
3.60,161.00
3.80,206.00
4.00,246.00
4.20,214.00
4.40,151.00
4.60,129.00
4.80,127.00
5.00,125.00
5.20,125.00
5.40,142.00
5.60,128.00
5.80,126.00
6.00,126.00
6.20,126.00
6.40,126.00
6.60,125.00
6.80,126.00
7.00,125.00
7.20,244.00
