Time(S),GPU0_Power(W)
0.17,72.54
0.17,73.48
0.48,74.02
0.68,82.67
0.88,91.11
1.08,99.58
1.28,107.95
1.48,116.66
1.68,119.34
1.88,119.03
2.08,119.32
2.28,119.57
2.48,119.75
2.68,119.74
2.88,119.74
3.08,119.68
3.28,119.72
3.48,119.64
3.68,119.75
3.88,119.75
4.08,119.80
4.28,119.76
4.48,119.77
4.68,119.61
4.88,119.65
5.08,119.57
5.28,119.62
5.48,119.72
5.68,119.76
5.88,119.71
6.08,119.74
6.28,119.70
6.48,119.67
6.68,119.67
6.88,119.69
7.08,119.71
7.28,119.71
7.48,119.72
7.68,119.68
7.88,119.65
8.08,119.47
