Time(S),GPU0_Power(W)
0.02,84.42
0.02,84.36
0.22,88.14
0.42,98.83
0.62,110.83
0.82,120.83
1.02,131.33
1.22,139.15
1.42,138.96
1.62,137.54
1.82,137.52
2.02,137.50
2.22,137.48
2.42,137.46
2.62,137.54
2.82,137.58
3.02,137.60
3.22,137.59
3.42,137.55
3.62,137.53
3.82,137.37
4.02,137.33
4.22,137.29
4.42,137.32
4.62,137.34
4.82,137.46
5.02,137.52
5.22,137.54
5.42,137.63
5.62,137.60
5.82,137.61
6.02,137.60
6.22,137.68
6.42,137.60
6.62,137.62
6.82,137.61
7.02,137.62
7.22,137.59
7.43,137.56
7.63,137.62
7.83,137.56
8.03,137.58
8.23,137.54
8.43,137.56
8.63,137.56
8.83,137.55
9.03,137.53
9.23,137.56
9.43,137.55
9.63,137.43
9.83,137.46
10.03,137.43
10.23,137.49
10.43,137.54
10.63,137.62
10.83,137.63
11.03,137.63
11.23,137.58
11.43,137.54
11.63,137.53
11.83,137.54
12.03,137.58
12.23,137.61
12.43,137.65
12.63,137.66
12.83,137.63
13.03,137.61
13.23,137.60
13.43,137.57
13.63,137.57
13.83,137.60
14.03,137.61
14.23,137.60
14.43,137.62
14.63,137.60
14.83,137.53
15.03,137.48
15.23,137.38
15.43,137.27
15.63,137.29
15.83,137.35
16.03,137.41
16.23,137.50
16.43,137.61
16.63,137.61
16.83,137.60
17.03,137.59
17.23,137.64
17.43,137.65
17.63,137.64
17.84,137.65
18.04,137.62
18.24,137.64
18.44,137.62
18.64,137.62
18.84,137.65
19.04,137.64
19.24,137.58
19.44,137.52
19.64,137.54
19.84,137.52
20.04,137.49
20.24,137.53
20.44,137.60
20.64,137.54
20.84,137.51
21.04,137.56
21.24,137.55
